dyspnea,dyspnea
hypoxia,hypoxia
or,or
more,more
than,than
50,50
lung,lung
involvement,involv
on,on
imaging,imag
and,and
5,5
suffer,suffer
critical,critic
symptoms,symptom
respiratory,respiratori
failure,failur
shock,shock
or,or
multiorgan,multiorgan
dysfunction15,dysfunction15
Older,older
people,peopl
are,are
at,at
a,a
higher,higher
risk,risk
of,of
developing,develop
severe,sever
symptoms,symptom
Some,some
people,peopl
continue,continu
to,to
experience,experi
a,a
range,rang
of,of
effects,effect
long,long
COVID,covid
for,for
months,month
after,after
recovery,recoveri
and,and
damage,damag
to,to
organs,organ
has,has
been,been
observed16,observed16
Multiyear,multiyear
studies,studi
are,are
underway,underway
to,to
further,further
investigate,investig
the,the
longterm,longterm
effects,effect
of,of
the,the
disease16,disease16
COVID19,covid19
transmits,transmit
when,when
people,peopl
breathe,breath
in,in
air,air
contaminated,contamin
by,by
droplets,droplet
and,and
small,small
airborne,airborn
particles,particl
containing,contain
the,the
virus,virus
The,the
risk,risk
of,of
breathing,breath
these,these
in,in
is,is
highest,highest
when,when
people,peopl
are,are
in,in
close,close
proximity,proxim
but,but
they,they
can,can
be,be
inhaled,inhal
over,over
longer,longer
distances,distanc
particularly,particular
indoors,indoor
Transmission,transmiss
can,can
also,also
occur,occur
if,if
splashed,splash
or,or
sprayed,spray
with,with
contaminated,contamin
fluids,fluid
in,in
the,the
eyes,eye
nose,nose
or,or
mouth,mouth
and,and
rarely,rare
via,via
contaminated,contamin
surfaces,surfac
People,peopl
remain,remain
contagious,contagi
for,for
up,up
to,to
20,20
days,day
and,and
can,can
spread,spread
the,the
virus,virus
even,even
if,if
they,they
do,do
not,not
develop,develop
symptoms1718,symptoms1718
Several,sever
testing,test
methods,method
have,have
been,been
developed,develop
to,to
diagnose,diagnos
the,the
disease,diseas
The,the
standard,standard
diagnostic,diagnost
method,method
is,is
by,by
detection,detect
of,of
the,the
viruss,viruss
nucleic,nucleic
acid,acid
by,by
realtime,realtim
reverse,revers
transcription,transcript
polymerase,polymeras
chain,chain
reaction,reaction
rRTPCR,rrtpcr
transcriptionmediated,transcriptionmedi
amplification,amplif
TMA,tma
or,or
by,by
reverse,revers
transcription,transcript
loopmediated,loopmedi
isothermal,isotherm
amplification,amplif
RTLAMP,rtlamp
from,from
a,a
nasopharyngeal,nasopharyng
swab,swab
Several,sever
COVID19,covid19
vaccines,vaccin
have,have
been,been
approved,approv
and,and
distributed,distribut
in,in
various,various
countries,countri
which,which
have,have
initiated,initi
mass,mass
vaccination,vaccin
campaigns,campaign
Other,other
preventive,prevent
measures,measur
include,includ
physical,physic
or,or
social,social
distancing,distanc
quarantining,quarantin
ventilation,ventil
of,of
indoor,indoor
spaces,space
covering,cover
coughs,cough
and,and
sneezes,sneez
hand,hand
washing,wash
and,and
keeping,keep
unwashed,unwash
hands,hand
away,away
from,from
the,the
face,face
The,the
use,use
of,of
face,face
masks,mask
or,or
coverings,cover
has,has
been,been
recommended,recommend
in,in
public,public
settings,set
to,to
minimize,minim
the,the
risk,risk
of,of
transmission,transmiss
While,while
work,work
is,is
underway,underway
to,to
develop,develop
drugs,drug
that,that
inhibit,inhibit
the,the
virus,virus
the,the
primary,primari
treatment,treatment
is,is
symptomatic,symptomat
Management,manag
involves,involv
the,the
treatment,treatment
of,of
symptoms,symptom
supportive,support
care,care
isolation,isol
and,and
experimental,experiment
measures,measur
Nomenclature,nomenclatur
During,dure
the,the
initial,initi
outbreak,outbreak
in,in
Wuhan,wuhan
the,the
virus,virus
and,and
disease,diseas
were,were
commonly,common
referred,refer
to,to
as,as
coronavirus,coronavirus
and,and
Wuhan,wuhan
coronavirus192021,coronavirus192021
with,with
the,the
disease,diseas
sometimes,sometim
called,call
Wuhan,wuhan
pneumonia2223,pneumonia2223
In,in
the,the
past,past
many,mani
diseases,diseas
have,have
been,been
named,name
after,after
geographical,geograph
locations,locat
such,such
as,as
the,the
Spanish,spanish
flu24,flu24
Middle,middl
East,east
respiratory,respiratori
syndrome,syndrom
and,and
Zika,zika
virus25,virus25
In,in
January,januari
2020,2020
the,the
World,world
Health,health
Organization,organ
WHO,who
recommended,recommend
2019nCoV26,2019ncov26
and,and
2019nCoV,2019ncov
acute,acut
respiratory,respiratori
disease27,disease27
as,as
interim,interim
names,name
for,for
the,the
virus,virus
and,and
disease,diseas
per,per
2015,2015
guidance,guidanc
and,and
international,intern
guidelines,guidelin
against,against
using,use
geographical,geograph
locations,locat
or,or
groups,group
of,of
people,peopl
in,in
disease,diseas
and,and
virus,virus
names,name
to,to
prevent,prevent
social,social
stigma282930,stigma282930
The,the
official,offici
names,name
COVID19,covid19
and,and
SARSCoV2,sarscov2
were,were
issued,issu
by,by
the,the
WHO,who
on,on
11,11
February,februari
202031,202031
The,the
DirectorGeneral,directorgener
Tedros,tedro
Adhanom,adhanom
explained,explain
that,that
CO,co
stands,stand
for,for
corona,corona
VI,vi
for,for
virus,virus
D,d
for,for
disease,diseas
and,and
19,19
for,for
2019,2019
the,the
year,year
in,in
which,which
the,the
outbreak,outbreak
was,was
first,first
identified32,identified32
The,the
WHO,who
additionally,addit
uses,use
the,the
COVID19,covid19
virus,virus
and,and
the,the
virus,virus
responsible,respons
for,for
COVID19,covid19
in,in
public,public
communications3133,communications3133
Signs,sign
and,and
symptoms,symptom
Symptoms,symptom
of,of
COVID19,covid19
are,are
variable,variabl
ranging,rang
from,from
mild,mild
symptoms,symptom
to,to
critical,critic
and,and
possibly,possibl
fatal,fatal
illness3435,illness3435
Common,common
symptoms,symptom
include,includ
coughing,cough
fever,fever
loss,loss
of,of
smell,smell
anosmia,anosmia
and,and
taste,tast
ageusia,ageusia
with,with
less,less
common,common
ones,one
including,includ
headaches,headach
nasal,nasal
congestion,congest
and,and
runny,runni
nose,nose
muscle,muscl
pain,pain
sore,sore
throat,throat
diarrhea,diarrhea
eye,eye
irritation36,irritation36
and,and
toes,toe
swelling,swell
or,or
turning,turn
purple37,purple37
and,and
in,in
moderate,moder
t,t
